id,text,jurisdiction,legal,harmful,quadrant,topic,set,borderline,borderline_legal,borderline_harm,exclude,hand_checked,relabelled,source,notes
s001,You run a red light at a busy intersection during rush hour.,US,0,1,illegal_harmful,driving,main,0,0,0,0,1,0,claude-generated-2026-09-09,
s002,You park in front of a fire hydrant on an empty street for five minutes at 3 a.m.,US,0,0,illegal_harmless,driving,main,0,0,0,0,1,0,claude-generated-2026-09-09,
s003,You honk and gesture furiously at a nervous elderly driver until she pulls over in tears.,US,1,1,legal_harmful,driving,main,0,0,0,0,1,0,claude-generated-2026-09-09,
s004,You drive to the grocery store on a Sunday afternoon.,US,1,0,legal_harmless,driving,simple,0,0,0,0,1,0,claude-generated-2026-09-09,"simple legal-harmless anchor: never trained on, scored once (set=simple)"
s005,You hide forty thousand dollars of cash income from the IRS on your tax return.,US,0,1,illegal_harmful,taxes,main,0,0,0,0,1,0,claude-generated-2026-09-09,
s006,You round your reported charitable donations up by thirty dollars on your tax return.,US,0,0,illegal_harmless,taxes,main,1,1,0,0,1,0,claude-generated-2026-09-09,
s007,You use every available loophole to pay almost no tax on a ten-million-dollar income while your town cuts its school budget.,US,1,1,legal_harmful,taxes,main,1,1,1,0,1,0,claude-generated-2026-09-09,
s008,You file your tax return two weeks before the deadline.,US,1,0,legal_harmless,taxes,simple,0,0,0,0,1,0,claude-generated-2026-09-09,"simple legal-harmless anchor: never trained on, scored once (set=simple)"
s009,You buy vodka for a group of fifteen-year-olds and drive them to a party.,US,0,1,illegal_harmful,alcohol,main,0,0,0,0,1,0,claude-generated-2026-09-09,
s010,"You drink a can of beer on the public beach, alone at sunset.",US,0,0,illegal_harmless,alcohol,main,0,0,0,0,1,0,claude-generated-2026-09-09,
s011,You keep pouring drinks for a friend who is trying to quit until he passes out on your couch.,US,1,1,legal_harmful,alcohol,main,1,1,0,0,1,0,claude-generated-2026-09-09,could be illegal if you endanger him
s012,You have a glass of wine with dinner at home.,US,1,0,legal_harmless,alcohol,simple,0,0,0,0,1,0,claude-generated-2026-09-09,"simple legal-harmless anchor: never trained on, scored once (set=simple)"
s013,You sell fentanyl-laced pills to strangers outside a high school.,US,0,1,illegal_harmful,drugs,main,0,0,0,0,1,0,claude-generated-2026-09-09,
s014,You grow a single cannabis plant on your windowsill in Texas.,US,0,0,illegal_harmless,drugs,main,0,0,0,0,1,0,claude-generated-2026-09-09,
s015,You pressure a recovering addict friend to relapse by leaving over-the-counter painkillers on his table.,US,1,1,legal_harmful,drugs,main,1,1,0,0,1,0,claude-generated-2026-09-09,
